File,Latitude,Longitude,Plot,Selection,Week_1_FVR,Week_2_FVR,Week_3_FVR,Week_4_FVR,Week_5_FVR,Week_6_FVR,Week_7_FVR,Week_8_FVR,Week_9_FVR,Week_10_FVR,Week_11_FVR
1 (334).JPG,35.53571856,-93.40129681,CHICKASAW,FF,0.528573877,3.761129245,4.561714752,0.958889395,0.383848636,0.171805466,0.077516145,0.104058105,0.037933491,0.035651578,0.020437999
1 (345).JPG,35.53577431,-93.40117208,2824,FF,0.0,0.163699081,0.628208321,0.44097569,0.625822945,1.031925965,0.402440185,0.819132366,0.265911187,0.181254424,0.135928534
1 (396).JPG,35.5358365,-93.40110456,2823,FF,0.0,0.44537467,0.650369747,0.718830414,0.40197341,0.633769939,0.284546697,0.483520732,0.033409906,0.088071079,0.253628231
1 (416).JPG,35.53585183,-93.40100031,2822,PF,0.542336302,3.120999654,5.194386206,2.990757662,0.419731586,0.885250158,0.199619432,0.831419308,0.00225386,0.0,0.0
1 (454).JPG,35.53505033,-93.40068233,2821,FF,0.0,0.37405367,0.196191212,0.306357476,0.652608676,1.477263698,0.933207104,0.440939684,0.032593259,0.002181128,0.0
1 (517).JPG,35.53510819,-93.40063169,2820,FF,0.050849623,1.321295621,0.0,0.285779246,0.17413967,0.228055849,0.5838493,0.646445785,0.12079464,0.088325893,0.007038733
1 (559).JPG,35.53518514,-93.40053525,2819,FF,0.0,0.067503651,0.323170663,0.176827919,0.238455093,0.390156932,0.282350727,0.309608789,0.064983101,0.06857649,0.048940984
1 (894).JPG,35.53524819,-93.40047478,2811,FF,0.0,0.0,0.19818658,0.613093958,1.296144532,1.213310607,0.242251075,0.453450525,0.50376737,0.206262124,0.02701763
1 (998).JPG,35.53530989,-93.40041581,2810,FF,0.0,1.034529553,2.772462135,2.915395389,0.641008606,0.382355306,0.236497857,0.585481573,0.034711419,0.013776369,0.036693062
1 (1044).JPG,35.5354115,-93.40042506,2809,FF,0.0,0.063246008,0.118096741,0.063710994,0.066626487,0.120845296,0.404658188,0.189697174,0.03676238,0.073898714,0.007669735
1 (1049).JPG,35.53548231,-93.40042511,2808,FF,0.0,0.377527462,0.532777488,0.128943199,0.311234265,0.405066889,0.162005401,0.214998051,0.069042677,0.003247725,0.017646506
1 (1051).JPG,35.53584194,-93.40078297,2807,PF,0.0,0.537706576,1.253367822,1.046957056,0.886273599,0.939714109,0.899456078,1.370148771,0.053091826,0.068965083,0.103224352
1 (1056).JPG,35.53585031,-93.40091861,2806,FF,0.0,0.02879477,0.373414112,0.178160734,0.220124372,0.08137172,0.080815079,0.197051075,0.086995009,0.003879127,0.003111577
1 (120).JPG,35.53589192,-93.40097931,2522,FF,0.0,0.065051649,0.141454729,0.863645937,4.347418485,1.862442333,0.573327448,4.95695837,2.002582772,1.183428555,0.580402994
1 (190).JPG,35.53573719,-93.40132517,2560,FF,0.0,0.0,0.0,0.0,0.0,0.056964474,0.0,0.0,0.030478857,0.0,0.0
1 (327).JPG,35.53565839,-93.40149833,2587,PF,0.061766824,0.952729818,1.392555004,0.389679384,0.579756753,0.764843428,0.616667827,0.465788223,0.028252938,0.015347594,0.0
1 (352).JPG,35.53565003,-93.40160594,2602,PF,0.929594178,2.665979728,1.341435191,0.14626658,0.20817942,0.456367529,0.771606816,0.548789454,0.297874295,0.228086769,0.04153943
1 (474).JPG,35.53580586,-93.40126078,2606,FF,0.0,0.04065973,0.099414688,0.90329088,0.103442668,0.240898429,0.610879872,0.628711005,0.11807957,0.033043131,0.033668513
1 (561).JPG,35.53584969,-93.40116261,2613,PF,0.0,0.122418527,1.647783031,0.0,0.359842258,0.494601034,0.58245575,0.872890938,0.312100863,0.183995179,0.122990948
1 (719).JPG,35.53588272,-93.40108939,2660,FF,0.0,0.022886161,0.214916743,0.511274848,0.109002013,0.159263497,0.080690716,0.513912411,0.122487547,0.040334026,0.01794093
1 (790).JPG,35.53483586,-93.40069778,2678,PF,0.0,0.582814239,1.074050894,0.880812167,0.342271302,0.843734724,0.536740371,1.190768259,0.19572492,0.106237399,0.074358336
1 (957).JPG,35.53490469,-93.40070036,2684,FF,0.0,0.0,0.11872869,0.572054721,0.405783962,0.292427055,0.695769303,2.337036908,0.461353484,0.107770016,0.096467426
1 (995).JPG,35.53512803,-93.40050825,2685,PF,0.0,0.128214342,0.660122007,0.508830255,0.55194633,0.284747669,0.221927105,0.387069667,0.127853985,0.048325791,0.012250721
1 (1105).JPG,35.53518564,-93.40045753,2687,PF,0.0,0.045755315,0.486600685,0.484646479,1.025916631,0.842997188,0.388527375,1.448611082,0.408235594,0.101221731,0.023629746
1 (1119).JPG,35.53536325,-93.40037697,2701,FF,0.0,0.222089654,0.173617153,0.0,0.128225848,0.209592557,1.024122841,0.996010456,0.333904991,0.105676249,0.066283493
1 (1126).JPG,35.53550308,-93.40037589,2708,FF,0.0,0.0,0.071215778,0.084225003,0.308085042,0.116648654,0.27205397,0.935285038,0.309910019,0.059124101,0.014311939
